product_id,product_weight_g,product_length_cm,product_height_cm,product_width_cm
af86e686aa53ce2533bd7057de00c317,350.0,16.0,7.0,13.0
24f9f99148480cd31288ed4e7d962e15,850.0,69.0,11.0,11.0
4c505e52bedf9651c08793647c925e65,350.0,16.0,10.0,16.0
c23381297fa734ea441a15d723199fb5,200.0,20.0,20.0,20.0
d893342b6bb012d27a5238e5b2164ff2,150.0,16.0,16.0,16.0
c8a0fe4fb537a7864e6aca0477a6da9c,2000.0,49.0,16.0,39.0
ef76ea9ee88ad60b9680c7635f2baaa8,200.0,20.0,9.0,14.0
6bb81626d06fafb4d7eab61ac9ed70c6,300.0,16.0,7.0,20.0
9339df4b551cc289617ed742b9af7925,200.0,19.0,4.0,11.0
09c3d39641970009c198caed304ccfc4,300.0,68.0,7.0,13.0
7130a7cfbe3bb2f11f6524e0cec6eafe,300.0,16.0,16.0,16.0
76fffd0056ad48fbddac939c05e05cff,200.0,16.0,2.0,20.0
e05646078b508ff048d63d3af7775ca1,1300.0,20.0,16.0,20.0
2efbce46d36d9af306d4300db163b276,250.0,16.0,16.0,15.0
13756b5878fd044fbc05fcb618416894,1950.0,40.0,27.0,28.0
2068e3435a38f6a3cc95ba89a96378ab,3300.0,35.0,20.0,20.0
